trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
878,False,"{'a': 0.05, 'e': 0.01220360031617583}",25,15,18.90233965495282,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
879,False,"{'a': 0.05, 'e': 0.012142582314594952}",25,9,27.527425637562786,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
880,False,"{'a': 0.05, 'e': 0.012081869403021975}",25,11,25.191450277572848,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
881,False,"{'a': 0.05, 'e': 0.012021460056006867}",30,16,27.264497682007843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
882,False,"{'a': 0.05, 'e': 0.011961352755726832}",25,13,26.117240232100013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
883,False,"{'a': 0.05, 'e': 0.011901545991948198}",20,10,16.13839124301675,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
884,False,"{'a': 0.05, 'e': 0.011842038261988456}",20,6,24.810410798991054,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
885,False,"{'a': 0.05, 'e': 0.011782828070678514}",20,10,21.416369621815107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
886,False,"{'a': 0.05, 'e': 0.011723913930325121}",20,10,17.668149237802442,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
887,False,"{'a': 0.05, 'e': 0.011665294360673496}",30,11,37.10193698229965,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
888,False,"{'a': 0.05, 'e': 0.011606967888870128}",20,15,9.931779559108335,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
889,False,"{'a': 0.05, 'e': 0.011548933049425779}",30,18,20.691507133410266,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
890,False,"{'a': 0.05, 'e': 0.011491188384178648}",20,3,23.10031585549717,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
891,False,"{'a': 0.05, 'e': 0.011433732442257755}",30,13,34.28427444735311,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
892,False,"{'a': 0.05, 'e': 0.011376563780046466}",25,6,30.729807218015477,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
893,False,"{'a': 0.05, 'e': 0.011319680961146234}",20,7,21.830861577908486,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
894,False,"{'a': 0.05, 'e': 0.011263082556340504}",20,6,27.619014074814643,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
895,False,"{'a': 0.05, 'e': 0.0112067671435588}",20,9,21.574264947391555,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
896,False,"{'a': 0.05, 'e': 0.011150733307841006}",20,8,23.892365521975375,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
897,False,"{'a': 0.05, 'e': 0.011094979641301801}",20,13,13.773166920100682,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
898,False,"{'a': 0.05, 'e': 0.011039504743095292}",20,8,21.833137977596344,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
899,False,"{'a': 0.05, 'e': 0.010984307219379815}",20,6,26.628571608889995,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
900,False,"{'a': 0.05, 'e': 0.010929385683282916}",30,14,29.17813117678545,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
901,False,"{'a': 0.05, 'e': 0.010874738754866503}",20,14,14.49261953731838,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
902,False,"{'a': 0.05, 'e': 0.01082036506109217}",35,17,32.636430488747756,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
903,False,"{'a': 0.05, 'e': 0.010766263235786708}",20,14,8.99855840936609,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
904,False,"{'a': 0.05, 'e': 0.010712431919607775}",25,14,21.870948755019878,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
905,False,"{'a': 0.05, 'e': 0.010658869760009735}",20,9,17.017435564092075,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
906,False,"{'a': 0.05, 'e': 0.010605575411209687}",30,8,37.09612438200801,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
907,False,"{'a': 0.05, 'e': 0.010552547534153639}",30,7,37.15696561832938,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
908,False,"{'a': 0.05, 'e': 0.01049978479648287}",25,16,17.92664050273205,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
909,False,"{'a': 0.05, 'e': 0.010447285872500456}",25,17,14.414247387956944,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
910,False,"{'a': 0.05, 'e': 0.010395049443137953}",20,8,25.22056674760337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
911,False,"{'a': 0.05, 'e': 0.010343074195922264}",20,7,22.88757615268521,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
912,False,"{'a': 0.05, 'e': 0.010291358824942653}",20,8,22.726091574874445,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
913,False,"{'a': 0.05, 'e': 0.010239902030817939}",25,0,39.12259076850125,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
914,False,"{'a': 0.05, 'e': 0.01018870252066385}",20,7,27.22408485719784,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
915,False,"{'a': 0.05, 'e': 0.010137759008060531}",30,4,43.609199318821204,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
916,False,"{'a': 0.05, 'e': 0.010087070213020228}",20,6,25.084637250529113,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
917,False,"{'a': 0.05, 'e': 0.010036634861955126}",20,13,14.298669284370344,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
918,False,"{'a': 0.05, 'e': 0.00998645168764535}",25,7,31.14939456463,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
919,False,"{'a': 0.05, 'e': 0.009936519429207124}",25,17,15.498134963327955,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
920,False,"{'a': 0.05, 'e': 0.009886836832061088}",20,6,25.256133959415187,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
921,False,"{'a': 0.05, 'e': 0.009837402647900784}",25,8,30.410443581080706,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
922,False,"{'a': 0.05, 'e': 0.00978821563466128}",20,9,21.03326444325212,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
923,False,"{'a': 0.05, 'e': 0.009739274556487973}",30,15,29.54284612232943,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
924,False,"{'a': 0.05, 'e': 0.009690578183705532}",25,11,27.63066662855846,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
925,False,"{'a': 0.05, 'e': 0.009642125292787004}",30,14,30.181585242976222,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
